timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667103449742,372,Request1,200,OK,Thread Group 1-9,text,true,,15118,119,10,10,https://www.google.com/,368,0,0
1667103449754,397,Request1,200,OK,Thread Group 1-2,text,true,,15071,119,10,10,https://www.google.com/,392,0,0
1667103449681,486,Request1,200,OK,Thread Group 1-7,text,true,,15084,119,10,10,https://www.google.com/,470,0,0
1667103449723,447,Request1,200,OK,Thread Group 1-1,text,true,,15075,119,10,10,https://www.google.com/,444,0,0
1667103449740,431,Request1,200,OK,Thread Group 1-3,text,true,,15050,119,10,10,https://www.google.com/,427,0,0
1667103449824,454,Request1,200,OK,Thread Group 1-6,text,true,,15028,119,10,10,https://www.google.com/,450,0,0
1667103449923,458,Request1,200,OK,Thread Group 1-8,text,true,,15024,119,10,10,https://www.google.com/,451,0,0
1667103449966,447,Request1,200,OK,Thread Group 1-4,text,true,,15081,119,10,10,https://www.google.com/,441,0,0
1667103450115,367,Request1,200,OK,Thread Group 1-9,text,true,,15088,119,10,10,https://www.google.com/,363,0,0
1667103450072,423,Request1,200,OK,Thread Group 1-10,text,true,,15050,119,10,10,https://www.google.com/,420,0,0
1667103450171,378,Request1,200,OK,Thread Group 1-3,text,true,,15059,119,10,10,https://www.google.com/,374,0,0
1667103450167,422,Request1,200,OK,Thread Group 1-7,text,true,,15085,119,10,10,https://www.google.com/,414,0,0
1667103450170,450,Request1,200,OK,Thread Group 1-1,text,true,,15052,119,10,10,https://www.google.com/,442,0,0
1667103450278,449,Request1,200,OK,Thread Group 1-6,text,true,,15135,119,10,10,https://www.google.com/,443,0,0
1667103450151,669,Request1,200,OK,Thread Group 1-2,text,true,,15030,119,10,10,https://www.google.com/,664,0,0
1667103450483,440,Request1,200,OK,Thread Group 1-9,text,true,,15029,119,10,10,https://www.google.com/,436,0,0
1667103450495,445,Request1,200,OK,Thread Group 1-10,text,true,,15088,119,10,10,https://www.google.com/,440,0,0
